correlacion_pearson_ponderada,banda_altitud,t_min_promedio_ponderado,poblacion_total,n_puntos
0.1906,0-500m (costa),6.653799581328169,7573155.0,1114.0
0.1906,500-2000m,47.38202590817679,93484.0,669.0
0.1906,2000-3500m,11.08349911938259,2316178.0,1410.0
0.1906,> 3500m (altoandino),94.18959454016559,67035.0,1108.0
