banda,poblacion_en_banda,pct_poblacion
<= 30 min,9468828.0,94.21858152736975
30-60 min,317514.0,3.1593898099195887
60-120 min,192742.0,1.9178590888701645
> 120 min,70768.0,0.7041695738404904
