DIST,t_min_promedio_ponderado,poblacion_total,n_puntos
UCHIZA,44.82420289855072,0.0,23.0
CHIARA,44.27787776606955,4745.0,24.0
SHUNTE,43.96933333333333,0.0,5.0
SAN JOSE DE TICLLAS,42.41478124016368,1059.0,11.0
POLVORA,42.365705128205136,0.0,26.0
SAMUGARI,40.888371805195185,11177.0,15.0
PISCOYACU,40.84759259259259,0.0,9.0
MOYOBAMBA,40.206153846153846,0.0,39.0
PACHIZA,39.947037037037035,0.0,18.0
MARIA PARADO DE BELLIDO,39.69188915534239,3753.0,20.0
PUCACACA,39.62866666666666,0.0,10.0
SHAPAJA,39.44444444444444,0.0,9.0
HUICUNGO,39.095606060606066,0.0,11.0
HUALLAGA,37.5587037037037,0.0,27.0
CUÑUMBUQUI,37.16791666666666,0.0,8.0
SOCOS,36.47028157870241,3581.0,16.0
SAÑA,35.083755965255605,9709.0,10.0
NUEVA CAJAMARCA,34.43355555555556,0.0,15.0
LAGUNAS,34.366290867628464,28211.0,13.0
QUINUA,33.87683911145352,12980.0,19.0
PINTO RECODO,33.02680555555556,0.0,12.0
CAYARA,32.91229274611399,1158.0,9.0
ZAPATERO,32.64183333333334,0.0,10.0
TABALOSOS,32.196999999999996,0.0,15.0
EL ESLABON,31.991875,0.0,16.0
JAYANCA,31.5902488379548,24956.0,22.0
SAN PABLO,31.094354838709677,0.0,31.0
PUCALA,30.251298292902067,14840.0,10.0
LUCANAS,29.639313313560713,4046.0,106.0
PICOTA,29.61304347826087,0.0,23.0
HUANCARAYLLA,29.25600745676662,2101.0,14.0
YURACYACU,28.858333333333334,0.0,2.0
LOS MOROCHUCOS,28.725421127009362,9435.0,40.0
LLOCHEGUA,28.72138835160112,12408.0,14.0
MANUEL ANTONIO MESONES MURO,28.500450436408975,3208.0,15.0
MORROPE,27.28908589137574,35118.0,27.0
PAJARILLO,26.927368421052627,0.0,19.0
SAN ROQUE DE CUMBAZA,26.569166666666668,0.0,2.0
PACORA,26.369308363970593,6528.0,12.0
HUAMANGUILLA,26.172939847836428,2804.0,11.0
COLCA,24.98255703422053,1052.0,12.0
ELIAS SOPLIN VARGAS,24.609666666666666,0.0,5.0
SAN HILARION,24.352575757575757,0.0,11.0
FERREÑAFE,23.292266064760632,382784.0,15.0
YORONGOS,23.272916666666667,0.0,4.0
PUEBLO NUEVO,22.874555988500973,96240.0,9.0
SACANCHE,22.19927083333333,0.0,16.0
SAN JUAN,22.019539993134227,2913.0,10.0
PATAPO,21.821824722322983,57891.0,12.0
ILLIMO,21.711889491934272,11055.0,7.0
CHUMPI,21.44915147913365,2524.0,24.0
SIVIA,21.019202047576034,8856.0,36.0
TAMBILLO,20.542731939860655,3636.0,15.0
TUCUME,20.120952776764117,24663.0,15.0
CASPISAPA,19.936666666666667,0.0,3.0
TOCACHE,19.534416666666665,0.0,20.0
SANTA ROSA,19.12877636009215,41382.0,37.0
PACAYCASA,18.806523178807947,2567.0,4.0
JUAN GUERRA,17.900555555555556,0.0,6.0
TAMBO,17.864666393320412,13414.0,24.0
MOCHUMI,17.27744236039318,20313.0,18.0
RUMISAPA,17.259166666666665,0.0,8.0
TUMAN,17.04123363723671,50674.0,9.0
HUANCAPI,16.974594594594596,1887.0,32.0
SAN ANTONIO,16.92,0.0,2.0
CHAVIÑA,16.916663443830576,3620.0,36.0
ETEN PUERTO,16.663333333333334,2342.0,1.0
SHANAO,15.768611111111113,0.0,6.0
SAN RAFAEL,14.430362318840581,0.0,23.0
ETEN,14.277077324443802,13799.0,4.0
LAMAS,13.836000000000002,0.0,10.0
IGUAIN,13.252924221292423,2151.0,9.0
REQUE,13.144873591365668,14701.0,8.0
PICSI,12.96411396589287,22185.0,5.0
CALZADA,12.680555555555557,0.0,3.0
SAN JOSE,12.632506525410717,15197.0,6.0
CANGALLO,12.511192383495455,5243.0,23.0
YANTALO,12.46375,0.0,4.0
JUANJUI,12.219444444444445,0.0,27.0
POSIC,12.030666666666667,0.0,5.0
RIOJA,11.466041666666667,0.0,8.0
MONSEFU,10.875328420691849,122541.0,16.0
BELLAVISTA,10.521372549019608,0.0,17.0
TINGO DE SAPOSOA,10.457619047619048,0.0,7.0
LURICOCHA,9.232705565338028,6247.0,21.0
POMALCA,8.801776286923415,23551.0,6.0
CACATACHI,8.231296296296298,0.0,18.0
MORALES,7.748500000000002,0.0,10.0
PIMENTEL,7.070325265409013,156959.0,19.0
TARAPOTO,6.839444444444445,0.0,6.0
LA BANDA DE SHILCAYO,6.8331481481481475,0.0,9.0
SAN MIGUEL,6.117420114362596,12883.0,32.0
CORACORA,6.008664070227498,24264.0,109.0
CARMEN ALTO,5.41667735745614,97280.0,5.0
ANDRES AVELINO CACERES DORREGARAY,4.162691682083835,117834.0,7.0
AYACUCHO,4.155784107499321,1140001.0,21.0
AYNA,4.041384620726774,19199.0,16.0
SAN JUAN BAUTISTA,3.905626878228811,344296.0,9.0
JOSE LEONARDO ORTIZ,3.084567595859426,1678769.0,11.0
JESUS NAZARENO,2.5224999999999995,140720.0,8.0
CHICLAYO,1.9596396834374683,3857816.0,23.0
HUANTA,1.9522082763100477,134448.0,27.0
LAMBAYEQUE,1.9077309028304115,362833.0,28.0
PUQUIO,1.8981524325264783,76635.0,63.0
LA VICTORIA,1.4445890799289884,259864.0,11.0
