CODCP,facilidad_mas_cercana,t_min,distancia_km
110001,4370,92.075,119.67360000000001
110003,4370,69.595,79.15310000000001
110042,3494,32.695,32.9022
110047,4370,8.875,5.7027
110085,3727,156.725,131.3816
110096,3494,162.285,126.0612
110131,3727,265.1166666666667,196.28910000000002
110144,3494,154.81833333333333,157.822
110152,3494,31.825,44.4435
110168,4370,79.78833333333334,76.774
110184,3727,158.20333333333335,208.53879999999998
110190,4370,18.31833333333333,22.4331
110210,3494,164.75666666666666,165.4448
110213,3494,15.75,10.834700000000002
110248,3494,168.63,168.0156
110250,8269,7.958333333333333,8.0946
110257,3727,78.325,56.9453
110272,3523,158.48333333333332,136.6105
110289,3655,13.465,11.9139
110320,4370,80.24,98.87780000000001
110325,4370,146.02833333333334,155.55870000000002
110329,6732,54.79333333333333,44.2181
110382,37376,59.519999999999996,40.584199999999996
110448,3727,286.64666666666665,303.3999
110487,4370,59.61,73.21539999999999
110515,3523,118.48,139.6233
110532,37376,58.425,37.5711
110563,3523,35.736666666666665,49.531400000000005
110568,3494,259.84666666666664,205.0081
110587,8154,26.06,20.6238
110612,3727,57.845,77.48689999999999
110638,11775,110.61,96.63889999999999
110642,3494,8.105,10.786299999999999
110683,3494,93.71499999999999,102.6199
110689,23733,3.7150000000000003,2.4239
110699,3792,29.19333333333333,26.977700000000002
110732,3727,195.25,142.5711
110759,3494,156.76833333333335,154.3861
110762,3792,39.37,30.6315
110766,3494,100.77333333333333,72.4513
110807,3494,293.22666666666663,220.20479999999998
110878,37376,128.24166666666667,112.0128
110886,3655,25.551666666666666,24.5443
110910,3655,14.141666666666667,8.6556
110915,3727,97.31166666666667,112.7145
110944,4370,28.858333333333334,28.752599999999997
110970,3754,88.53,95.0206
110983,3494,51.68,38.4786
110995,30057,41.973333333333336,46.264300000000006
111022,3792,125.85,129.7458
111031,4370,29.366666666666667,23.072400000000002
111036,3494,44.59666666666667,21.614
111052,3792,7.995,8.1907
111064,3494,19.91,18.820700000000002
111082,3494,271.515,211.4486
111114,3727,53.013333333333335,74.6258
111173,3792,16.761666666666667,15.588700000000001
111178,4370,56.406666666666666,58.630199999999995
111182,3494,161.32999999999998,97.08619999999999
111197,3494,151.13666666666668,123.7428
111224,3523,228.05333333333334,220.6124
111244,23733,27.40666666666667,11.0806
111252,3792,81.18333333333334,83.39410000000001
111257,11775,54.086666666666666,48.8579
111265,3727,113.19666666666667,158.7593
111279,3494,20.896666666666665,21.1583
111348,3727,30.236666666666668,35.7528
111410,3523,131.655,95.5306
111426,3727,195.13500000000002,150.3985
111427,3727,158.69333333333333,201.3247
111434,3523,97.91000000000001,101.0212
111458,3523,84.04166666666667,63.482099999999996
111467,3754,21.116666666666667,21.054
111507,3655,52.845,48.422599999999996
111559,3494,107.29333333333334,82.27080000000001
111589,3655,116.555,91.67
111601,4370,79.74833333333332,98.5305
111631,3523,11.74,9.075299999999999
111683,8154,65.825,46.986599999999996
111701,4370,43.906666666666666,58.6652
111716,6502,23.708333333333332,20.688200000000002
111719,6919,61.49666666666667,41.2989
111810,37376,60.38666666666666,41.3992
111825,3727,250.63,191.2209
111831,8154,21.35,19.2033
111832,3727,264.39500000000004,289.1343
111837,3727,169.42666666666668,158.4567
111863,6919,122.3,95.9413
111947,3494,101.07333333333332,97.5517
111951,37376,150.80833333333334,138.7535
111954,3494,96.125,68.5746
111973,3494,31.2,25.748900000000003
111977,3494,184.08666666666667,148.6934
111979,3494,53.04833333333333,25.987299999999998
111998,4370,35.21,41.4784
112002,3770,29.275,13.7567
112028,6732,21.154999999999998,21.3581
112055,3727,148.95166666666668,137.6072
112060,3494,46.501666666666665,64.24969999999999
112062,30057,43.095,55.9534
112141,3523,114.07333333333332,134.98170000000002
112185,3655,10.421666666666665,9.040799999999999
112222,3655,159.86333333333332,143.12429999999998
112226,3727,252.015,275.8608
112252,30057,1.6883333333333332,1.0315999999999999
112259,3523,20.771666666666665,27.9428
112288,3727,94.22833333333332,108.5446
112404,15598,14.243333333333334,9.107899999999999
112405,4370,89.66666666666667,123.0306
112410,3727,267.42333333333335,197.23239999999998
112416,35125,57.13,40.427800000000005
112436,11775,120.66666666666667,106.92460000000001
112449,6732,62.830000000000005,61.0049
112469,3727,144.61833333333334,149.7657
112474,3754,65.015,66.5294
112491,3523,170.92166666666665,187.3717
112495,3494,32.24333333333333,32.965900000000005
112500,3727,7.668333333333334,8.5163
112514,3523,117.93333333333334,126.148
112533,3494,111.06166666666667,96.6942
112540,35125,70.94666666666667,59.420199999999994
112541,3523,149.06333333333333,121.3685
112559,3727,128.61,133.58679999999998
112571,3494,92.76666666666667,99.3399
112596,3727,187.63833333333332,145.4134
112597,4370,142.13,123.2686
112607,3494,287.68833333333333,217.9001
112629,3727,61.52333333333333,73.2787
112649,37376,66.71666666666667,43.548300000000005
112655,3523,107.77833333333334,110.4785
112673,3494,98.45666666666666,76.88189999999999
112676,3727,163.32999999999998,151.1488
112699,3494,154.01333333333332,156.3783
112735,8154,2.881666666666667,1.0474
112741,3727,77.13666666666667,107.92880000000001
112772,3655,82.11166666666666,77.129
112795,3494,56.52166666666667,33.7677
112826,37376,70.19333333333334,45.4426
112914,3494,62.79833333333333,45.5079
112953,4370,75.34833333333333,103.3057
112970,3494,165.28,129.2442
113010,3727,206.72333333333333,226.2968
113016,30057,58.17833333333333,67.4941
113023,3727,39.17333333333333,28.7455
113051,3494,69.17333333333333,78.35860000000001
113087,3727,189.15166666666667,146.4197
113105,37376,205.04500000000002,172.8304
113139,3727,39.519999999999996,40.8469
113172,3523,10.633333333333333,6.857600000000001
113184,6732,32.88333333333333,31.0381
113196,37376,160.415,120.3913
113321,3727,70.265,78.1742
113384,3727,276.86333333333334,201.1107
113401,3754,60.94833333333334,74.0589
113434,3494,124.985,93.9039
113439,3770,58.60666666666667,41.7464
113467,3727,248.54833333333332,272.08340000000004
113507,3727,92.25,129.5691
113511,3523,152.765,144.2926
113514,3727,90.46000000000001,108.1701
